MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
202310,,:,18-74,,Code 9 Non-AWI,,0,0
202310,,:,75plus,,All Delay Reasons,d,0,0
202310,,:,75plus,,Health and Social Care Reasons,,0,0
202310,,:,75plus,,Patient and Family Related Reasons,,0,0
202310,,:,75plus,,Code 9 AWI,,0,0
202310,,:,75plus,,Code 9 Non-AWI,,0,0
202310,S92000003,d,18plus,d,All Delay Reasons,d,56762,1831
202310,S92000003,d,18plus,d,Health and Social Care Reasons,,39593,1277
202310,S92000003,d,18plus,d,Patient and Family Related Reasons,,1365,44
202310,S92000003,d,18plus,d,Code 9 AWI,,11582,374
202310,S92000003,d,18plus,d,Code 9 Non-AWI,,4222,136
202310,S92000003,d,18-74,,All Delay Reasons,d,19912,642
202310,S92000003,d,18-74,,Health and Social Care Reasons,,12794,413
202310,S92000003,d,18-74,,Patient and Family Related Reasons,,262,8
202310,S92000003,d,18-74,,Code 9 AWI,,3989,129
202310,S92000003,d,18-74,,Code 9 Non-AWI,,2867,92
202310,S92000003,d,75plus,,All Delay Reasons,d,36850,1189
202310,S92000003,d,75plus,,Health and Social Care Reasons,,26799,864
202310,S92000003,d,75plus,,Patient and Family Related Reasons,,1103,36
202310,S92000003,d,75plus,,Code 9 AWI,,7593,245
202310,S92000003,d,75plus,,Code 9 Non-AWI,,1355,44
202311,S12000005,,18plus,d,All Delay Reasons,d,419,14
202311,S12000005,,18plus,d,Health and Social Care Reasons,,263,9
202311,S12000005,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000005,,18plus,d,Code 9 AWI,,96,3
202311,S12000005,,18plus,d,Code 9 Non-AWI,,60,2
202311,S12000005,,18-74,,All Delay Reasons,d,100,3
202311,S12000005,,18-74,,Health and Social Care Reasons,,40,1
202311,S12000005,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000005,,18-74,,Code 9 AWI,,0,0
202311,S12000005,,18-74,,Code 9 Non-AWI,,60,2
202311,S12000005,,75plus,,All Delay Reasons,d,319,11
202311,S12000005,,75plus,,Health and Social Care Reasons,,223,7
202311,S12000005,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000005,,75plus,,Code 9 AWI,,96,3
202311,S12000005,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000006,,18plus,d,All Delay Reasons,d,3165,106
202311,S12000006,,18plus,d,Health and Social Care Reasons,,2655,89
202311,S12000006,,18plus,d,Patient and Family Related Reasons,,66,2
202311,S12000006,,18plus,d,Code 9 AWI,,278,9
202311,S12000006,,18plus,d,Code 9 Non-AWI,,166,6
202311,S12000006,,18-74,,All Delay Reasons,d,1100,37
202311,S12000006,,18-74,,Health and Social Care Reasons,,865,29
202311,S12000006,,18-74,,Patient and Family Related Reasons,,30,1
202311,S12000006,,18-74,,Code 9 AWI,,40,1
202311,S12000006,,18-74,,Code 9 Non-AWI,,165,6
202311,S12000006,,75plus,,All Delay Reasons,d,2065,69
202311,S12000006,,75plus,,Health and Social Care Reasons,,1790,60
202311,S12000006,,75plus,,Patient and Family Related Reasons,,36,1
202311,S12000006,,75plus,,Code 9 AWI,,238,8
202311,S12000006,,75plus,,Code 9 Non-AWI,,1,0
202311,S12000008,,18plus,d,All Delay Reasons,d,663,22
202311,S12000008,,18plus,d,Health and Social Care Reasons,,117,4
202311,S12000008,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000008,,18plus,d,Code 9 AWI,,295,10
202311,S12000008,,18plus,d,Code 9 Non-AWI,,251,8
202311,S12000008,,18-74,,All Delay Reasons,d,196,7
202311,S12000008,,18-74,,Health and Social Care Reasons,,20,1
202311,S12000008,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000008,,18-74,,Code 9 AWI,,85,3
202311,S12000008,,18-74,,Code 9 Non-AWI,,91,3
202311,S12000008,,75plus,,All Delay Reasons,d,467,16
202311,S12000008,,75plus,,Health and Social Care Reasons,,97,3
202311,S12000008,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000008,,75plus,,Code 9 AWI,,210,7
202311,S12000008,,75plus,,Code 9 Non-AWI,,160,5
202311,S12000010,,18plus,d,All Delay Reasons,d,235,8
202311,S12000010,,18plus,d,Health and Social Care Reasons,,220,7
202311,S12000010,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000010,,18plus,d,Code 9 AWI,,0,0
202311,S12000010,,18plus,d,Code 9 Non-AWI,,15,1
202311,S12000010,,18-74,,All Delay Reasons,d,100,3
202311,S12000010,,18-74,,Health and Social Care Reasons,,100,3
202311,S12000010,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000010,,18-74,,Code 9 AWI,,0,0
202311,S12000010,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000010,,75plus,,All Delay Reasons,d,135,5
202311,S12000010,,75plus,,Health and Social Care Reasons,,120,4
202311,S12000010,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000010,,75plus,,Code 9 AWI,,0,0
202311,S12000010,,75plus,,Code 9 Non-AWI,,15,1
202311,S12000011,,18plus,d,All Delay Reasons,d,433,14
202311,S12000011,,18plus,d,Health and Social Care Reasons,,320,11
202311,S12000011,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000011,,18plus,d,Code 9 AWI,,113,4
202311,S12000011,,18plus,d,Code 9 Non-AWI,,0,0
202311,S12000011,,18-74,,All Delay Reasons,d,155,5
202311,S12000011,,18-74,,Health and Social Care Reasons,,102,3
202311,S12000011,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000011,,18-74,,Code 9 AWI,,53,2
202311,S12000011,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000011,,75plus,,All Delay Reasons,d,278,9
202311,S12000011,,75plus,,Health and Social Care Reasons,,218,7
202311,S12000011,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000011,,75plus,,Code 9 AWI,,60,2
202311,S12000011,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000013,,18plus,d,All Delay Reasons,d,649,22
202311,S12000013,,18plus,d,Health and Social Care Reasons,,346,12
202311,S12000013,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000013,,18plus,d,Code 9 AWI,,102,3
202311,S12000013,,18plus,d,Code 9 Non-AWI,,201,7
202311,S12000013,,18-74,,All Delay Reasons,d,135,5
202311,S12000013,,18-74,,Health and Social Care Reasons,,54,2
202311,S12000013,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000013,,18-74,,Code 9 AWI,,30,1
202311,S12000013,,18-74,,Code 9 Non-AWI,,51,2
202311,S12000013,,75plus,,All Delay Reasons,d,514,17
202311,S12000013,,75plus,,Health and Social Care Reasons,,292,10
202311,S12000013,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000013,,75plus,,Code 9 AWI,,72,2
202311,S12000013,,75plus,,Code 9 Non-AWI,,150,5
202311,S12000014,,18plus,d,All Delay Reasons,d,2097,70
202311,S12000014,,18plus,d,Health and Social Care Reasons,,1348,45
202311,S12000014,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000014,,18plus,d,Code 9 AWI,,573,19
202311,S12000014,,18plus,d,Code 9 Non-AWI,,176,6
202311,S12000014,,18-74,,All Delay Reasons,d,773,26
202311,S12000014,,18-74,,Health and Social Care Reasons,,430,14
202311,S12000014,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000014,,18-74,,Code 9 AWI,,240,8
202311,S12000014,,18-74,,Code 9 Non-AWI,,103,3
202311,S12000014,,75plus,,All Delay Reasons,d,1324,44
202311,S12000014,,75plus,,Health and Social Care Reasons,,918,31
202311,S12000014,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000014,,75plus,,Code 9 AWI,,333,11
202311,S12000014,,75plus,,Code 9 Non-AWI,,73,2
202311,S12000017,,18plus,d,All Delay Reasons,d,5561,185
202311,S12000017,,18plus,d,Health and Social Care Reasons,,3913,130
202311,S12000017,,18plus,d,Patient and Family Related Reasons,,209,7
202311,S12000017,,18plus,d,Code 9 AWI,,1029,34
202311,S12000017,,18plus,d,Code 9 Non-AWI,,410,14
202311,S12000017,,18-74,,All Delay Reasons,d,1368,46
202311,S12000017,,18-74,,Health and Social Care Reasons,,1025,34
202311,S12000017,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000017,,18-74,,Code 9 AWI,,239,8
202311,S12000017,,18-74,,Code 9 Non-AWI,,104,3
202311,S12000017,,75plus,,All Delay Reasons,d,4193,140
202311,S12000017,,75plus,,Health and Social Care Reasons,,2888,96
202311,S12000017,,75plus,,Patient and Family Related Reasons,,209,7
202311,S12000017,,75plus,,Code 9 AWI,,790,26
202311,S12000017,,75plus,,Code 9 Non-AWI,,306,10
202311,S12000018,,18plus,d,All Delay Reasons,d,519,17
202311,S12000018,,18plus,d,Health and Social Care Reasons,,368,12
202311,S12000018,,18plus,d,Patient and Family Related Reasons,,15,1
202311,S12000018,,18plus,d,Code 9 AWI,,122,4
202311,S12000018,,18plus,d,Code 9 Non-AWI,,14,0
202311,S12000018,,18-74,,All Delay Reasons,d,186,6
202311,S12000018,,18-74,,Health and Social Care Reasons,,104,3
202311,S12000018,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000018,,18-74,,Code 9 AWI,,82,3
202311,S12000018,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000018,,75plus,,All Delay Reasons,d,333,11
202311,S12000018,,75plus,,Health and Social Care Reasons,,264,9
202311,S12000018,,75plus,,Patient and Family Related Reasons,,15,1
202311,S12000018,,75plus,,Code 9 AWI,,40,1
202311,S12000018,,75plus,,Code 9 Non-AWI,,14,0
202311,S12000019,,18plus,d,All Delay Reasons,d,642,21
202311,S12000019,,18plus,d,Health and Social Care Reasons,,552,18
202311,S12000019,,18plus,d,Patient and Family Related Reasons,,30,1
202311,S12000019,,18plus,d,Code 9 AWI,,60,2
202311,S12000019,,18plus,d,Code 9 Non-AWI,,0,0
202311,S12000019,,18-74,,All Delay Reasons,d,262,9
202311,S12000019,,18-74,,Health and Social Care Reasons,,202,7
202311,S12000019,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000019,,18-74,,Code 9 AWI,,60,2
202311,S12000019,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000019,,75plus,,All Delay Reasons,d,380,13
202311,S12000019,,75plus,,Health and Social Care Reasons,,350,12
202311,S12000019,,75plus,,Patient and Family Related Reasons,,30,1
202311,S12000019,,75plus,,Code 9 AWI,,0,0
202311,S12000019,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000020,,18plus,d,All Delay Reasons,d,1201,40
202311,S12000020,,18plus,d,Health and Social Care Reasons,,1005,34
202311,S12000020,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000020,,18plus,d,Code 9 AWI,,88,3
202311,S12000020,,18plus,d,Code 9 Non-AWI,,108,4
202311,S12000020,,18-74,,All Delay Reasons,d,203,7
202311,S12000020,,18-74,,Health and Social Care Reasons,,143,5
202311,S12000020,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000020,,18-74,,Code 9 AWI,,30,1
202311,S12000020,,18-74,,Code 9 Non-AWI,,30,1
202311,S12000020,,75plus,,All Delay Reasons,d,998,33
202311,S12000020,,75plus,,Health and Social Care Reasons,,862,29
202311,S12000020,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000020,,75plus,,Code 9 AWI,,58,2
202311,S12000020,,75plus,,Code 9 Non-AWI,,78,3
202311,S12000021,,18plus,d,All Delay Reasons,d,2066,69
202311,S12000021,,18plus,d,Health and Social Care Reasons,,1335,45
202311,S12000021,,18plus,d,Patient and Family Related Reasons,,2,0
202311,S12000021,,18plus,d,Code 9 AWI,,601,20
202311,S12000021,,18plus,d,Code 9 Non-AWI,,128,4
202311,S12000021,,18-74,,All Delay Reasons,d,603,20
202311,S12000021,,18-74,,Health and Social Care Reasons,,242,8
202311,S12000021,,18-74,,Patient and Family Related Reasons,,2,0
202311,S12000021,,18-74,,Code 9 AWI,,247,8
202311,S12000021,,18-74,,Code 9 Non-AWI,,112,4
202311,S12000021,,75plus,,All Delay Reasons,d,1463,49
202311,S12000021,,75plus,,Health and Social Care Reasons,,1093,36
202311,S12000021,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000021,,75plus,,Code 9 AWI,,354,12
202311,S12000021,,75plus,,Code 9 Non-AWI,,16,1
202311,S12000023,,18plus,d,All Delay Reasons,d,322,11
202311,S12000023,,18plus,d,Health and Social Care Reasons,,296,10
202311,S12000023,,18plus,d,Patient and Family Related Reasons,,6,0
202311,S12000023,,18plus,d,Code 9 AWI,,20,1
202311,S12000023,,18plus,d,Code 9 Non-AWI,,0,0
202311,S12000023,,18-74,,All Delay Reasons,d,27,1
202311,S12000023,,18-74,,Health and Social Care Reasons,,27,1
202311,S12000023,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000023,,18-74,,Code 9 AWI,,0,0
202311,S12000023,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000023,,75plus,,All Delay Reasons,d,295,10
202311,S12000023,,75plus,,Health and Social Care Reasons,,269,9
202311,S12000023,,75plus,,Patient and Family Related Reasons,,6,0
202311,S12000023,,75plus,,Code 9 AWI,,20,1
202311,S12000023,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000026,,18plus,d,All Delay Reasons,d,2348,78
202311,S12000026,,18plus,d,Health and Social Care Reasons,,2032,68
202311,S12000026,,18plus,d,Patient and Family Related Reasons,,57,2
202311,S12000026,,18plus,d,Code 9 AWI,,259,9
202311,S12000026,,18plus,d,Code 9 Non-AWI,,0,0
202311,S12000026,,18-74,,All Delay Reasons,d,571,19
202311,S12000026,,18-74,,Health and Social Care Reasons,,409,14
202311,S12000026,,18-74,,Patient and Family Related Reasons,,7,0
202311,S12000026,,18-74,,Code 9 AWI,,155,5
202311,S12000026,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000026,,75plus,,All Delay Reasons,d,1777,59
202311,S12000026,,75plus,,Health and Social Care Reasons,,1623,54
202311,S12000026,,75plus,,Patient and Family Related Reasons,,50,2
202311,S12000026,,75plus,,Code 9 AWI,,104,3
202311,S12000026,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000027,,18plus,d,All Delay Reasons,d,97,3
202311,S12000027,,18plus,d,Health and Social Care Reasons,,79,3
202311,S12000027,,18plus,d,Patient and Family Related Reasons,,18,1
202311,S12000027,,18plus,d,Code 9 AWI,,0,0
202311,S12000027,,18plus,d,Code 9 Non-AWI,,0,0
202311,S12000027,,18-74,,All Delay Reasons,d,25,1
202311,S12000027,,18-74,,Health and Social Care Reasons,,25,1
202311,S12000027,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000027,,18-74,,Code 9 AWI,,0,0
202311,S12000027,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000027,,75plus,,All Delay Reasons,d,72,2
202311,S12000027,,75plus,,Health and Social Care Reasons,,54,2
202311,S12000027,,75plus,,Patient and Family Related Reasons,,18,1
202311,S12000027,,75plus,,Code 9 AWI,,0,0
202311,S12000027,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000028,,18plus,d,All Delay Reasons,d,3002,100
202311,S12000028,,18plus,d,Health and Social Care Reasons,,2288,76
202311,S12000028,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000028,,18plus,d,Code 9 AWI,,475,16
202311,S12000028,,18plus,d,Code 9 Non-AWI,,239,8
202311,S12000028,,18-74,,All Delay Reasons,d,882,29
202311,S12000028,,18-74,,Health and Social Care Reasons,,545,18
202311,S12000028,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000028,,18-74,,Code 9 AWI,,131,4
202311,S12000028,,18-74,,Code 9 Non-AWI,,206,7
202311,S12000028,,75plus,,All Delay Reasons,d,2120,71
202311,S12000028,,75plus,,Health and Social Care Reasons,,1743,58
202311,S12000028,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000028,,75plus,,Code 9 AWI,,344,11
202311,S12000028,,75plus,,Code 9 Non-AWI,,33,1
202311,S12000029,,18plus,d,All Delay Reasons,d,3361,112
202311,S12000029,,18plus,d,Health and Social Care Reasons,,2667,89
202311,S12000029,,18plus,d,Patient and Family Related Reasons,,60,2
202311,S12000029,,18plus,d,Code 9 AWI,,622,21
202311,S12000029,,18plus,d,Code 9 Non-AWI,,12,0
202311,S12000029,,18-74,,All Delay Reasons,d,997,33
202311,S12000029,,18-74,,Health and Social Care Reasons,,761,25
202311,S12000029,,18-74,,Patient and Family Related Reasons,,1,0
202311,S12000029,,18-74,,Code 9 AWI,,235,8
202311,S12000029,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000029,,75plus,,All Delay Reasons,d,2364,79
202311,S12000029,,75plus,,Health and Social Care Reasons,,1906,64
202311,S12000029,,75plus,,Patient and Family Related Reasons,,59,2
202311,S12000029,,75plus,,Code 9 AWI,,387,13
202311,S12000029,,75plus,,Code 9 Non-AWI,,12,0
202311,S12000030,,18plus,d,All Delay Reasons,d,864,29
202311,S12000030,,18plus,d,Health and Social Care Reasons,,320,11
202311,S12000030,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000030,,18plus,d,Code 9 AWI,,448,15
202311,S12000030,,18plus,d,Code 9 Non-AWI,,96,3
202311,S12000030,,18-74,,All Delay Reasons,d,281,9
202311,S12000030,,18-74,,Health and Social Care Reasons,,101,3
202311,S12000030,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000030,,18-74,,Code 9 AWI,,98,3
202311,S12000030,,18-74,,Code 9 Non-AWI,,82,3
202311,S12000030,,75plus,,All Delay Reasons,d,583,19
202311,S12000030,,75plus,,Health and Social Care Reasons,,219,7
202311,S12000030,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000030,,75plus,,Code 9 AWI,,350,12
202311,S12000030,,75plus,,Code 9 Non-AWI,,14,0
202311,S12000033,,18plus,d,All Delay Reasons,d,591,20
202311,S12000033,,18plus,d,Health and Social Care Reasons,,339,11
202311,S12000033,,18plus,d,Patient and Family Related Reasons,,1,0
202311,S12000033,,18plus,d,Code 9 AWI,,236,8
202311,S12000033,,18plus,d,Code 9 Non-AWI,,15,1
202311,S12000033,,18-74,,All Delay Reasons,d,383,13
202311,S12000033,,18-74,,Health and Social Care Reasons,,239,8
202311,S12000033,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000033,,18-74,,Code 9 AWI,,129,4
202311,S12000033,,18-74,,Code 9 Non-AWI,,15,1
202311,S12000033,,75plus,,All Delay Reasons,d,208,7
202311,S12000033,,75plus,,Health and Social Care Reasons,,100,3
202311,S12000033,,75plus,,Patient and Family Related Reasons,,1,0
202311,S12000033,,75plus,,Code 9 AWI,,107,4
202311,S12000033,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000034,,18plus,d,All Delay Reasons,d,1969,66
202311,S12000034,,18plus,d,Health and Social Care Reasons,,1634,54
202311,S12000034,,18plus,d,Patient and Family Related Reasons,,13,0
202311,S12000034,,18plus,d,Code 9 AWI,,243,8
202311,S12000034,,18plus,d,Code 9 Non-AWI,,79,3
202311,S12000034,,18-74,,All Delay Reasons,d,666,22
202311,S12000034,,18-74,,Health and Social Care Reasons,,536,18
202311,S12000034,,18-74,,Patient and Family Related Reasons,,6,0
202311,S12000034,,18-74,,Code 9 AWI,,60,2
202311,S12000034,,18-74,,Code 9 Non-AWI,,64,2
202311,S12000034,,75plus,,All Delay Reasons,d,1303,43
202311,S12000034,,75plus,,Health and Social Care Reasons,,1098,37
202311,S12000034,,75plus,,Patient and Family Related Reasons,,7,0
202311,S12000034,,75plus,,Code 9 AWI,,183,6
202311,S12000034,,75plus,,Code 9 Non-AWI,,15,1
202311,S12000035,,18plus,d,All Delay Reasons,d,1084,36
202311,S12000035,,18plus,d,Health and Social Care Reasons,,932,31
202311,S12000035,,18plus,d,Patient and Family Related Reasons,,62,2
202311,S12000035,,18plus,d,Code 9 AWI,,90,3
202311,S12000035,,18plus,d,Code 9 Non-AWI,,0,0
202311,S12000035,,18-74,,All Delay Reasons,d,355,12
202311,S12000035,,18-74,,Health and Social Care Reasons,,295,10
202311,S12000035,,18-74,,Patient and Family Related Reasons,,30,1
202311,S12000035,,18-74,,Code 9 AWI,,30,1
202311,S12000035,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000035,,75plus,,All Delay Reasons,d,729,24
202311,S12000035,,75plus,,Health and Social Care Reasons,,637,21
202311,S12000035,,75plus,,Patient and Family Related Reasons,,32,1
202311,S12000035,,75plus,,Code 9 AWI,,60,2
202311,S12000035,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000036,,18plus,d,All Delay Reasons,d,4909,164
202311,S12000036,,18plus,d,Health and Social Care Reasons,,3520,117
202311,S12000036,,18plus,d,Patient and Family Related Reasons,,300,10
202311,S12000036,,18plus,d,Code 9 AWI,,999,33
202311,S12000036,,18plus,d,Code 9 Non-AWI,,90,3
202311,S12000036,,18-74,,All Delay Reasons,d,1628,54
202311,S12000036,,18-74,,Health and Social Care Reasons,,1232,41
202311,S12000036,,18-74,,Patient and Family Related Reasons,,15,1
202311,S12000036,,18-74,,Code 9 AWI,,291,10
202311,S12000036,,18-74,,Code 9 Non-AWI,,90,3
202311,S12000036,,75plus,,All Delay Reasons,d,3281,109
202311,S12000036,,75plus,,Health and Social Care Reasons,,2288,76
202311,S12000036,,75plus,,Patient and Family Related Reasons,,285,10
202311,S12000036,,75plus,,Code 9 AWI,,708,24
202311,S12000036,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000038,,18plus,d,All Delay Reasons,d,426,14
202311,S12000038,,18plus,d,Health and Social Care Reasons,,155,5
202311,S12000038,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000038,,18plus,d,Code 9 AWI,,90,3
202311,S12000038,,18plus,d,Code 9 Non-AWI,,181,6
202311,S12000038,,18-74,,All Delay Reasons,d,251,8
202311,S12000038,,18-74,,Health and Social Care Reasons,,33,1
202311,S12000038,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000038,,18-74,,Code 9 AWI,,60,2
202311,S12000038,,18-74,,Code 9 Non-AWI,,158,5
202311,S12000038,,75plus,,All Delay Reasons,d,175,6
202311,S12000038,,75plus,,Health and Social Care Reasons,,122,4
202311,S12000038,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000038,,75plus,,Code 9 AWI,,30,1
202311,S12000038,,75plus,,Code 9 Non-AWI,,23,1
202311,S12000039,,18plus,d,All Delay Reasons,d,1133,38
202311,S12000039,,18plus,d,Health and Social Care Reasons,,759,25
202311,S12000039,,18plus,d,Patient and Family Related Reasons,,15,1
202311,S12000039,,18plus,d,Code 9 AWI,,359,12
202311,S12000039,,18plus,d,Code 9 Non-AWI,,0,0
202311,S12000039,,18-74,,All Delay Reasons,d,308,10
202311,S12000039,,18-74,,Health and Social Care Reasons,,204,7
202311,S12000039,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000039,,18-74,,Code 9 AWI,,104,3
202311,S12000039,,18-74,,Code 9 Non-AWI,,0,0
202311,S12000039,,75plus,,All Delay Reasons,d,825,28
202311,S12000039,,75plus,,Health and Social Care Reasons,,555,19
202311,S12000039,,75plus,,Patient and Family Related Reasons,,15,1
202311,S12000039,,75plus,,Code 9 AWI,,255,9
202311,S12000039,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000040,,18plus,d,All Delay Reasons,d,1433,48
202311,S12000040,,18plus,d,Health and Social Care Reasons,,978,33
202311,S12000040,,18plus,d,Patient and Family Related Reasons,,10,0
202311,S12000040,,18plus,d,Code 9 AWI,,415,14
202311,S12000040,,18plus,d,Code 9 Non-AWI,,30,1
202311,S12000040,,18-74,,All Delay Reasons,d,460,15
202311,S12000040,,18-74,,Health and Social Care Reasons,,295,10
202311,S12000040,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000040,,18-74,,Code 9 AWI,,135,5
202311,S12000040,,18-74,,Code 9 Non-AWI,,30,1
202311,S12000040,,75plus,,All Delay Reasons,d,973,32
202311,S12000040,,75plus,,Health and Social Care Reasons,,683,23
202311,S12000040,,75plus,,Patient and Family Related Reasons,,10,0
202311,S12000040,,75plus,,Code 9 AWI,,280,9
202311,S12000040,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000041,,18plus,d,All Delay Reasons,d,534,18
202311,S12000041,,18plus,d,Health and Social Care Reasons,,184,6
202311,S12000041,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000041,,18plus,d,Code 9 AWI,,118,4
202311,S12000041,,18plus,d,Code 9 Non-AWI,,232,8
202311,S12000041,,18-74,,All Delay Reasons,d,307,10
202311,S12000041,,18-74,,Health and Social Care Reasons,,36,1
202311,S12000041,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000041,,18-74,,Code 9 AWI,,69,2
202311,S12000041,,18-74,,Code 9 Non-AWI,,202,7
202311,S12000041,,75plus,,All Delay Reasons,d,227,8
202311,S12000041,,75plus,,Health and Social Care Reasons,,148,5
202311,S12000041,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000041,,75plus,,Code 9 AWI,,49,2
202311,S12000041,,75plus,,Code 9 Non-AWI,,30,1
202311,S12000042,,18plus,d,All Delay Reasons,d,1063,35
202311,S12000042,,18plus,d,Health and Social Care Reasons,,469,16
202311,S12000042,,18plus,d,Patient and Family Related Reasons,,47,2
202311,S12000042,,18plus,d,Code 9 AWI,,163,5
202311,S12000042,,18plus,d,Code 9 Non-AWI,,384,13
202311,S12000042,,18-74,,All Delay Reasons,d,672,22
202311,S12000042,,18-74,,Health and Social Care Reasons,,196,7
202311,S12000042,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000042,,18-74,,Code 9 AWI,,92,3
202311,S12000042,,18-74,,Code 9 Non-AWI,,384,13
202311,S12000042,,75plus,,All Delay Reasons,d,391,13
202311,S12000042,,75plus,,Health and Social Care Reasons,,273,9
202311,S12000042,,75plus,,Patient and Family Related Reasons,,47,2
202311,S12000042,,75plus,,Code 9 AWI,,71,2
202311,S12000042,,75plus,,Code 9 Non-AWI,,0,0
202311,S12000045,,18plus,d,All Delay Reasons,d,586,20
202311,S12000045,,18plus,d,Health and Social Care Reasons,,200,7
202311,S12000045,,18plus,d,Patient and Family Related Reasons,,0,0
202311,S12000045,,18plus,d,Code 9 AWI,,324,11
202311,S12000045,,18plus,d,Code 9 Non-AWI,,62,2
202311,S12000045,,18-74,,All Delay Reasons,d,205,7
202311,S12000045,,18-74,,Health and Social Care Reasons,,69,2
202311,S12000045,,18-74,,Patient and Family Related Reasons,,0,0
202311,S12000045,,18-74,,Code 9 AWI,,90,3
202311,S12000045,,18-74,,Code 9 Non-AWI,,46,2
202311,S12000045,,75plus,,All Delay Reasons,d,381,13
202311,S12000045,,75plus,,Health and Social Care Reasons,,131,4
202311,S12000045,,75plus,,Patient and Family Related Reasons,,0,0
202311,S12000045,,75plus,,Code 9 AWI,,234,8
202311,S12000045,,75plus,,Code 9 Non-AWI,,16,1
202311,S12000047,,18plus,d,All Delay Reasons,d,3738,125
202311,S12000047,,18plus,d,Health and Social Care Reasons,,2382,79
202311,S12000047,,18plus,d,Patient and Family Related Reasons,,65,2
202311,S12000047,,18plus,d,Code 9 AWI,,788,26
202311,S12000047,,18plus,d,Code 9 Non-AWI,,503,17
202311,S12000047,,18-74,,All Delay Reasons,d,1252,42
202311,S12000047,,18-74,,Health and Social Care Reasons,,598,20
202311,S12000047,,18-74,,Patient and Family Related Reasons,,6,0
202311,S12000047,,18-74,,Code 9 AWI,,339,11
202311,S12000047,,18-74,,Code 9 Non-AWI,,309,10
202311,S12000047,,75plus,,All Delay Reasons,d,2486,83
202311,S12000047,,75plus,,Health and Social Care Reasons,,1784,59
